K,share_10min,mean_time_min,p50_time_min,p90_time_min
5,0.0288693462478318,79.78780252432166,90.0,90.0
10,0.0464238564535843,72.80348606102127,90.0,90.0
20,0.0780688385992301,60.215373073986726,70.47945534418447,90.0
30,0.1060364206191451,50.35381712630534,51.03087647297228,90.0
40,0.132675102508279,44.85144438464189,41.673569276562446,89.78182082370546
60,0.1817150084889915,34.90162772707859,29.19810553724472,78.17203505478548
