district_name,lat,lon,demand_w
Арбат,55.74632776414688,37.577047391429524,119589.9291309431
Арбат,55.74902252687266,37.576949293280016,148138.72369750246
Арбат,55.751717288294316,37.57685117846439,92993.8556901812
Арбат,55.7463829998146,37.58182484346186,81718.48748084297
Арбат,55.74907776809228,37.58172707439965,154040.88160285706
Арбат,55.75177253506659,37.581629288727164,160353.75937316573
Арбат,55.754467300737566,37.58153148644055,146276.29812890964
Арбат,55.74913282360502,37.58650487212956,179447.3814150546
Арбат,55.751827596113365,37.586407415604086,158008.7201919219
Арбат,55.75452236731911,37.586309942520344,173918.85629670898
Арбат,55.757217137222305,37.58621245287448,62134.168293790615
Арбат,55.74918769340952,37.59128268641389,118484.11257693988
Арбат,55.75188247143323,37.591185559039275,137534.27796282864
Арбат,55.7545772481551,37.59108841516227,134341.6644940637
Арбат,55.74924237750438,37.59606051719678,261917.42418529172
Арбат,55.75193716102481,37.595963718976876,135941.95473147882
Арбат,55.754631943244156,37.595866904310434,182216.90929189374
Арбат,55.749296875888234,37.60083836442238,101679.69764552149
Марфино,55.84115801812578,37.57882919192275,86193.87425236667
Марфино,55.84654746277813,37.57863252667807,60773.906372324556
Марфино,55.83043431838032,37.58401007535822,74746.01026595819
Марфино,55.84121324554317,37.58361826938169,84192.58141623822
Марфино,55.84390797407904,37.583520276193816,61874.921299035355
Марфино,55.827794596718306,37.58889542482482,203423.54051913074
Марфино,55.83048933729976,37.58879784579117,155484.08272214627
Марфино,55.833184076579975,37.58870025014794,80251.44231539959
Марфино,55.825154676448086,37.59378011277141,150465.1372847322
Марфино,55.82784942384708,37.5936828810773,285481.71311509836
Марфино,55.830544169945604,37.5935856328337,103531.22751151414
Марфино,55.83323891474365,37.59348836803678,64711.45528107795
Марфино,55.82251455762669,37.598664139302734,88222.30623888242
Марфино,55.82520931182303,37.59856725483568,202258.44696129858
Марфино,55.82790406471962,37.59847035387924,260983.53164176876
Сокол,55.809844183340815,37.491840949979974,176395.99112562038
Сокол,55.81253881544157,37.49173673122551,117404.7829757646
Сокол,55.801818852865324,37.49693755592245,96294.31414318118
Сокол,55.80451349481011,37.49683372052791,83660.03918315437
Сокол,55.807208135438266,37.4967298674703,101911.22909021615
Сокол,55.80990277474978,37.49662599674551,216504.26371626867
Сокол,55.81259741274469,37.49652210834942,122044.13828609783
Сокол,55.796487940959246,37.50192858720489,146295.3000739094
Сокол,55.79918259140875,37.50182511720609,123441.56738251838
Сокол,55.8018772405424,37.50172162960854,101162.67680702583
Сокол,55.8045718883602,37.50161812440813,106266.65476008042
Сокол,55.807266534862165,37.50151460160077,126829.53950800192
Сокол,55.793851473257014,37.506815140639766,149007.13154737657
Сокол,55.79654613087429,37.50671201826563,207166.2213278248
Сокол,55.7992407871765,37.5066088783529,285510.70880915504
Сокол,55.80193544216366,37.50650572089749,107029.70449063518
Сокол,55.80463009583577,37.50640254589532,156178.82361291413
Сокол,55.80732474819284,37.5062993533423,131252.24721335116
Сокол,55.79390947131896,37.511598259205016,255783.8540444678
Сокол,55.796604134769446,37.511495466864964,146057.4922966624
Сокол,55.79929879690565,37.511392657042386,53707.226904555595
Сокол,55.80199345772762,37.51128982973321,135020.42416856872
Сокол,55.804688117235344,37.51118698493336,194425.76886458276
Сокол,55.80738277542884,37.51108412263878,79464.91799893085
Сокол,55.79396728337824,37.51638139524872,147275.39766472724
Сокол,55.79666195264323,37.51627893294682,158915.0213917232
Сокол,55.79935662059475,37.51617645321846,137836.943321866
Сокол,55.802051287232835,37.51607395605959,163982.6902542113
Сокол,55.80474595255746,37.51597144146616,266767.20493761415
Бескудниковский,55.874975740963535,37.5343741903669,203529.33917301334
Бескудниковский,55.869643394771636,37.539369676428144,128302.67689141152
Бескудниковский,55.87233805847941,37.53926851467825,152653.30609176029
Бескудниковский,55.875032720878444,37.539167335692426,246332.16616189212
Бескудниковский,55.86700550594587,37.54426298859977,161401.73875335726
Бескудниковский,55.86970017667858,37.544162175662635,59464.13037774748
Бескудниковский,55.87239484610333,37.54406134555001,59711.64242542875
Бескудниковский,55.87508951422013,37.54396049825791,152166.45417125727
Бескудниковский,55.877784181029014,37.54385963378231,221698.20334216105
Бескудниковский,55.869756772048405,37.5489546920726,84571.1603493776
Бескудниковский,55.87245144717137,37.548854193601265,137666.60691658515
Бескудниковский,55.87514612098716,37.54875367800689,214886.4829074055
Бескудниковский,55.86172913063404,37.55404762372004,99540.94309393666
Бескудниковский,55.86442381535567,37.55394750806986,106104.8229163381
Бескудниковский,55.867118498770886,37.553847375365045,218194.9623261542
Бескудниковский,55.86981318087966,37.553747225601604,190937.12237590746
Бескудниковский,55.872507861682074,37.553647058775546,233852.71153745928
Бескудниковский,55.87520254117809,37.553546874882905,182987.63509186666
Бескудниковский,55.877897219367775,37.55344667391968,188176.72532502792
Бескудниковский,55.85909064426236,37.55893894687833,275228.0132207208
Бескудниковский,55.86178533594798,37.55883917970242,173446.7389450514
Бескудниковский,55.86448002632793,37.558739395532236,259309.64355498285
Бескудниковский,55.86717471540226,37.558639594363825,262870.1462195978
Бескудниковский,55.869869403170945,37.558539776193214,241372.20811381208
Бескудниковский,55.872564089634025,37.55843994101643,226634.53962314042
Бескудниковский,55.85375725888881,37.56392900912628,76997.36033777407
Бескудниковский,55.85645195882305,37.563829607241814,236009.43537328354
Бескудниковский,55.85914665745236,37.5637301884274,345724.6311175349
Бескудниковский,55.86184135477677,37.56363075267905,193204.35427569065
Бескудниковский,55.8645360507963,37.56353129999284,209109.54478805774
Бескудниковский,55.86723074551097,37.56343183036481,208573.5384871419
Замоскворечье,55.72300145976876,37.620043859334274,273190.3487314113
Замоскворечье,55.72569628230351,37.61994880785901,62577.13455508381
Замоскворечье,55.72839110354061,37.6198537402437,109813.59560229091
Замоскворечье,55.7230550093383,37.62481855078714,181329.00977530834
Замоскворечье,55.725749837253865,37.624723827939846,112446.9955394465
Замоскворечье,55.7284446638725,37.624629089008245,53536.07163897211
Замоскворечье,55.731139489194256,37.62453433398861,69541.01948087312
Замоскворечье,55.733834313219134,37.6244395628772,110355.41493600373
Замоскворечье,55.72310837337222,37.62959325832057,84062.00609912068
Замоскворечье,55.72580320664996,37.629498864104974,58041.39430718191
Замоскворечье,55.728498038631514,37.62940445386083,96580.81625516109
Замоскворечье,55.73119286931692,37.62931002758442,160635.97851952046
Замоскворечье,55.733887698706184,37.629215585272,129544.1131121451
Замоскворечье,55.73658252679934,37.62912112691985,188889.41423601095
Замоскворечье,55.73927735359639,37.62902665252424,141252.96050669672
Замоскворечье,55.74197217909736,37.62893216208143,113461.07466743475
Замоскворечье,55.74466700330228,37.628837655587695,82499.4849026258
Замоскворечье,55.723161551869175,37.63436798187882,90210.63034746866
Замоскворечье,55.72585639049046,37.63427391629866,168466.37677241358
Замоскворечье,55.72855122781631,37.634179834745694,161497.26662037376
Замоскворечье,55.73124606384673,37.63408573721623,119615.74844405297
Замоскворечье,55.73394089858176,37.63399162370653,110121.13797040208
Замоскворечье,55.736635732021384,37.633897494212896,180854.3097537923
Замоскворечье,55.73933056416567,37.633803348731604,144858.79833398457
Замоскворечье,55.7420253950146,37.63370918725893,202284.85130906574
Замоскворечье,55.74472022456821,37.633615009791164,100434.94682666505
Замоскворечье,55.72590938877404,37.639048984465134,97630.68194208911
Замоскворечье,55.72860423142553,37.63895523160706,72527.07560281942
Замоскворечье,55.731299072782335,37.63886146282826,59655.02303414347
Замоскворечье,55.73399391284448,37.63876767812501,121269.79981431327
Замоскворечье,55.736688751611965,37.6386738774936,133354.98907451186
Замоскворечье,55.73938358908482,37.638580060930344,89110.92850745347
Замоскворечье,55.74207842526308,37.63848622843153,93260.19713889984
Замоскворечье,55.74477326014673,37.638392379993455,79164.45325464559
Замоскворечье,55.73135189612241,37.64363720436474,83188.81327931002
Замоскворечье,55.73674158556973,37.64345027670616,108468.07424981461
Замоскворечье,55.739436428352526,37.64335678906465,150661.33727873443
