district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share,walk_reach_nodes_10min_point,metro_walk_time_s_point,res_buildings_density_km2_pct,walk_reach_nodes_10min_point_pct,metro_walk_time_s_point_pct,competitor_density_km2_pct,dormitory_cnt_pct,cemetery_area_share_pct,index_score_0_1,index_rank
54,Сокол,3.4971872081931865,0,0.0,8,2.2875526884170383,552.4849627150824,321,91.78805162273366,12,0.00017118783998172345,2563,452.2451783895615,0.952054794520548,0.910958904109589,0.7671232876712328,0.8561643835616438,1.0,0.40410958904109584,0.8654109589041097,1.0
82,Арбат,2.0828801476179692,0,0.0,18,8.64187986072325,527.8948665406936,206,98.90151396161053,0,0.0,3415,531.1456902461391,0.9657534246575342,0.9726027397260274,0.726027397260274,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.8554794520547946,2.0
29,Ломоносовский,3.331911767888334,0,0.0,3,0.9003839864287013,686.7521890929169,202,60.62585508619922,0,0.0,2704,555.0980317195326,0.7945205479452054,0.9315068493150684,0.6986301369863014,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.7883561643835616,3.0
142,Косино-Ухтомский,15.296759641697419,3,0.19611996725256137,9,0.588359901757684,638.5270319524274,1404,91.78414467419871,1,1.569813293950494e-05,2298,401.8500586096137,0.9452054794520548,0.8698630136986302,0.8013698630136986,0.5,0.571917808219178,0.45890410958904104,0.7878424657534245,4.0
99,Замоскворечье,4.2792986979790495,2,0.4673663002174922,19,4.439979852066176,277.0378165466995,328,76.64807323566872,0,0.0,3848,403.5574854129291,0.910958904109589,0.9931506849315068,0.7945205479452055,0.26712328767123283,0.24315068493150685,0.7363013698630136,0.7695205479452055,5.0
125,Преображенское,5.584666927202792,0,0.0,22,3.939357581530686,332.13499328734787,256,45.83979731235708,5,0.003836903028468871,1738,357.9570369968868,0.6712328767123288,0.7945205479452054,0.8287671232876712,0.8561643835616438,0.8801369863013698,0.17808219178082196,0.7470890410958905,6.0
68,Бескудниковский,3.2768149359588548,0,0.0,11,3.3569182926045236,340.9156166039449,170,51.879646340251725,0,0.0,2504,640.8682865760749,0.7328767123287672,0.9041095890410958,0.6164383561643836,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.7465753424657535,7.0
97,Мещанский,4.516035997431129,8,1.7714650646165497,23,5.092962060772581,191.94849924206676,349,77.28016344389698,0,0.0,3486,322.73461188858914,0.9178082191780822,0.9794520547945206,0.8424657534246576,0.04109589041095896,0.24315068493150685,0.7363013698630136,0.7438356164383562,8.0
85,Тверской,7.306546531632285,6,0.8211813849435101,76,10.401630875951128,470.0736084248524,501,68.5686456427831,2,3.387695455226834e-05,3882,491.6285534466888,0.8493150684931506,1.0,0.7602739726027398,0.15068493150684936,0.7054794520547946,0.4383561643835616,0.7366438356164383,9.0
76,Академический,5.705862734491396,5,0.8762916727343398,18,3.1546500218436235,182.80892030765037,370,64.84558378234115,6,0.0,1722,212.84704367543878,0.8356164383561644,0.773972602739726,0.8904109589041096,0.136986301369863,0.928082191780822,0.7363013698630136,0.7260273972602739,10.0
104,Басманный,8.399195567108192,8,0.9524721666594514,25,2.976475520810786,802.9097830922523,685,81.55542927021553,11,0.0,3149,813.6196122605944,0.9315068493150684,0.9657534246575342,0.4931506849315068,0.11643835616438358,0.9897260273972602,0.7363013698630136,0.7232876712328766,11.0
