district_name,lat,lon,local_demand_w
Арбат,55.74816111965492,37.58016710694503,
Арбат,55.75265239486408,37.58000394796572,
Арбат,55.74825287576847,37.588129920315886,
Арбат,55.75274416634991,37.587967675633834,
Арбат,55.74834411604178,37.59609277961596,
Арбат,55.752835421909154,37.59593144924897,
Арбат,55.75292616153539,37.60389526855246,
Марфино,55.83939837192899,37.58208730145625,
Марфино,55.843889583794365,37.581923804829586,
Марфино,55.826016397451816,37.59055621169861,
Марфино,55.83050763554551,37.590393772962614,
Марфино,55.82161630593908,37.59869643046144,
Марфино,55.826107562932975,37.598534956349205,
Марфино,55.83059881631649,37.59837343642956,
Сокол,55.80449398894378,37.49523892315685,
Сокол,55.80898505265559,37.49506564143143,
Сокол,55.813476112709374,37.49489231057091,
Сокол,55.79560914050653,37.50355751169049,
Сокол,55.800100227844,37.50338524507238,
Сокол,55.804591311527076,37.50321292961697,
Сокол,55.80908239155579,37.50304056530529,
Сокол,55.81357346793022,37.50286815211836,
Сокол,55.79570591376532,37.51152973292062,
Сокол,55.80019701732568,37.511358383215814,
Сокол,55.804688117235344,37.51118698493336,
Сокол,55.80917921349438,37.5110155380544,
Сокол,55.81367030610288,37.510844042560045,
Сокол,55.80029329001208,37.519331569936895,
Бескудниковский,55.87052264676162,37.5377384249952,
Бескудниковский,55.87501374830375,37.53756961866558,
Бескудниковский,55.86612616539244,37.54589394529419,
Бескудниковский,55.87061728644899,37.54572610794486,
Бескудниковский,55.875108403873064,37.54555822293442,
Бескудниковский,55.86172913063404,37.55404762372004,
Бескудниковский,55.86622027111096,37.55388075482852,
Бескудниковский,55.87071140795895,37.55371383855562,
Бескудниковский,55.87520254117809,37.553546874882905,
Бескудниковский,55.857331542751254,37.56219946075805,
Бескудниковский,55.86182270255449,37.562033559802074,
Бескудниковский,55.86631385873237,37.56186761174423,
Бескудниковский,55.852933402008674,37.57034945689357,
Замоскворечье,55.72483373099027,37.62316376537548,
Замоскворечье,55.729325105701705,37.623005684552936,
Замоскворечье,55.72492267700448,37.63112197639366,
Замоскворечье,55.72941406661291,37.63096480859182,
Замоскворечье,55.733905452621606,37.630807596304074,
Замоскворечье,55.738396835030656,37.63065033951317,
Замоскворечье,55.74288821384016,37.63049303820186,
Замоскворечье,55.7473795890502,37.63033569235289,
Замоскворечье,55.72501110760249,37.63908023188051,
Замоскворечье,55.72950251202165,37.63892397711662,
Замоскворечье,55.73399391284448,37.63876767812501,
Замоскворечье,55.73848531007104,37.63861133488853,
Замоскворечье,55.742976703701466,37.63845494739005,
Замоскворечье,55.729590441921765,37.64688318986913,
Замоскворечье,55.73408185747244,37.646727804190796,
Ломоносовский,55.67700983502308,37.51971504308083,
Ломоносовский,55.68150104255024,37.51954539142885,
Ломоносовский,55.672614201409424,37.52783188015941,
Ломоносовский,55.677105428583,37.527663186307386,
Ломоносовский,55.68159665210932,37.52749444476719,
Ломоносовский,55.68608787198847,37.52732565552037,
Ломоносовский,55.672709264622235,37.535779161200836,
Ломоносовский,55.677200507705294,37.53561137722211,
Ломоносовский,55.681691747144754,37.53544354581216,
Ломоносовский,55.686182982940664,37.535275666952614,
Ломоносовский,55.677295072383345,37.543559615568064,
Ломоносовский,55.6817863276499,37.5433926943067,
Ломоносовский,55.68188039361818,37.55134188999378,
Тверской,55.77791907508765,37.58311466410502,
Тверской,55.77351939393075,37.59124559408086,
Тверской,55.778010671946035,37.59108355402108,
Тверской,55.78250194634599,37.59092146804512,
Тверской,55.78699321713069,37.590759336135136,
Тверской,55.79148448430023,37.59059715827331,
Тверской,55.76462786172184,37.5995357257989,
Тверской,55.76911916222298,37.599374692777815,
Тверской,55.77361045911211,37.599213614135195,
Тверской,55.778101752389325,37.59905248985334,
Тверской,55.78259304205469,37.59889131991455,
Тверской,55.78708432810833,37.59873010430108,
Тверской,55.79157561055028,37.59856884299522,
Тверской,55.76022706094947,37.607662033077325,
Тверской,55.7647183802277,37.607501960678555,
Тверской,55.76920969589734,37.60734184293489,
Тверской,55.77370100795845,37.607181679828756,
Тверской,55.77819231641112,37.60702147134255,
Тверской,55.78268362125543,37.606861217458636,
Тверской,55.751334368678705,37.61594557780338,
Тверской,55.755825710246135,37.61578651056007,
Тверской,55.76031704820823,37.615627398265794,
Тверской,55.76480838256509,37.615468240903084,
Тверской,55.76929971331679,37.61530903845445,
Тверской,55.77379104046343,37.6151497909024,
Тверской,55.77828236400509,37.61499049822944,
Тверской,55.75142380987499,37.62390915872971,
Тверской,55.75591516642775,37.6237510060223,
Тверской,55.7515127351494,37.63187278443087,
Тверской,55.75600410660112,37.63171554627672,
Басманный,55.75486502201287,37.636031578468845,
Басманный,55.759356398778856,37.635874798501895,
Басманный,55.754953165320885,37.6439959453973,
Басманный,55.75944455685559,37.64384008020051,
Басманный,55.763935944797105,37.6436841708554,
Басманный,55.75504079262777,37.65196035645695,
Басманный,55.7595321988448,37.65180540604745,
Басманный,55.764023601472005,37.651650411748506,
Басманный,55.76851500050948,37.65149537354309,
Басманный,55.75512790392738,37.659924811389025,
Басманный,55.759619324740335,37.659770775783834,
Басманный,55.76411074196683,37.659616696548085,
Басманный,55.76860215560693,37.65946257366485,
Басманный,55.75521449921361,37.66788930993474,
Басманный,55.75970593453613,37.66773618915077,
Басманный,55.76419736627548,37.66758302499514,
Басманный,55.76868879443178,37.667429817451016,
Басманный,55.77318021900511,37.66727656650156,
