district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share
0,Киевский,61.248444959135966,0,0.0,2,0.03265389025524435,3886.0738198350195,3877,63.29956625979118,1,0.0
1,Филёвский Парк,9.630071048231354,0,0.0,12,1.2460967255484479,906.4809299572519,308,31.98314928907683,2,0.0
2,Новофёдоровское,150.706781384358,0,0.0,0,0.0,5545.3935988143985,2291,15.201704786973739,0,0.0004181180573245345
3,Роговское,178.0157112125297,0,0.0,0,0.0,6675.840378999904,210,1.179671156942349,0,0.0002212672674350305
4,"""Мосрентген""",6.494100352072422,0,0.0,2,0.30797183467633854,962.7341123302523,651,100.24483218714819,0,0.0003640864788401491
5,Вороновское,206.05550263579656,0,0.0,1,0.004853061370399322,5445.111573150693,400,1.941224548159729,0,0.00020657140267159354
6,Михайлово-Ярцевское,64.74942907322428,0,0.0,0,0.0,14083.020478200577,91,1.4054177975390223,0,0.0
7,Марушкинское,50.42632519483855,3,0.05949273496350412,1,0.019830911654501373,3495.419461576743,5366,106.41267193805437,0,0.004417527972062526
8,Первомайское,118.71762616563537,0,0.0,0,0.0,9687.56977201931,2927,24.655142581070788,0,0.0005575774233799449
9,Матушкино,4.682062542563431,1,0.21358108545310026,1,0.21358108545310026,693.7038838904975,111,23.70750048529413,0,0.0
10,Внуково,15.295827041522749,5,0.3268865414355675,6,0.392263849722681,792.5680942064525,234,15.298290139184559,0,0.0
11,Савёлки,7.671740801535482,0,0.0,0,0.0,3566.9065314792897,107,13.94729081287316,1,0.030510334132536142
12,Внуковское,25.563278935994788,1,0.03911861238551577,9,0.3520675114696419,1102.8715099100234,664,25.974758623982467,0,0.012093584151535379
13,Силино,9.627792227152858,0,0.0,0,0.0,1477.6761710799349,295,30.640461804734827,0,0.033393171888224445
14,Кокошкино,8.278330199424262,1,0.12079730765868067,1,0.12079730765868067,1394.9449837599327,938,113.30787458384248,0,0.0
15,Крюково,10.639842114077668,0,0.0,0,0.0,1222.5211317316525,206,19.361189554442692,0,0.013318714245403986
