district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share,walk_reach_nodes_10min_p50,metro_walk_time_s_p10,res_buildings_density_km2_pct,walk_reach_nodes_10min_p50_pct,metro_walk_time_s_p10_pct,competitor_density_km2_pct,dormitory_cnt_pct,cemetery_area_share_pct,index_score_0_1,index_rank
82,Арбат,2.0828801476179692,0,0.0,18,8.64187986072325,527.8948665406936,206,98.90151396161053,0,0.0,3415.0,264.22373594977074,0.9657534246575342,0.9863013698630136,0.8013698630136986,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.8739726027397261,1.0
79,Марфино,2.10246981305616,0,0.0,4,1.9025243431131986,842.2034090194102,150,71.34466286674494,0,7.691471753965408e-05,2811.0,228.10235961737644,0.8904109589041096,0.958904109589041,0.8356164383561644,0.8561643835616438,0.24315068493150685,0.4178082191780822,0.8354452054794521,2.0
54,Сокол,3.4971872081931865,0,0.0,8,2.2875526884170383,552.4849627150824,321,91.78805162273366,12,0.00017118783998172345,2155.0,385.28040862456,0.952054794520548,0.910958904109589,0.5547945205479452,0.8561643835616438,1.0,0.40410958904109584,0.8229452054794522,3.0
68,Бескудниковский,3.2768149359588548,0,0.0,11,3.3569182926045236,340.9156166039449,170,51.879646340251725,0,0.0,2283.0,218.45357194356188,0.7328767123287672,0.9315068493150684,0.8493150684931507,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.8,4.0
99,Замоскворечье,4.2792986979790495,2,0.4673663002174922,19,4.439979852066176,277.0378165466995,328,76.64807323566872,0,0.0,3404.0,130.57526405566605,0.910958904109589,0.9794520547945206,0.9246575342465754,0.26712328767123283,0.24315068493150685,0.7363013698630136,0.7921232876712329,5.0
29,Ломоносовский,3.331911767888334,0,0.0,3,0.9003839864287013,686.7521890929169,202,60.62585508619922,0,0.0,2406.0,352.6062747441672,0.7945205479452054,0.9383561643835616,0.6301369863013699,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.7763698630136986,6.0
85,Тверской,7.306546531632285,6,0.8211813849435101,76,10.401630875951128,470.0736084248524,501,68.5686456427831,2,3.387695455226834e-05,4812.0,145.941665734077,0.8493150684931506,1.0,0.910958904109589,0.15068493150684936,0.7054794520547946,0.4383561643835616,0.7667808219178082,7.0
104,Басманный,8.399195567108192,8,0.9524721666594514,25,2.976475520810786,802.9097830922523,685,81.55542927021553,11,0.0,3149.0,341.2577603513384,0.9315068493150684,0.9726027397260274,0.6438356164383562,0.11643835616438358,0.9897260273972602,0.7363013698630136,0.7551369863013697,8.0
65,Аэропорт,4.663773413797046,7,1.5009305510622775,23,4.931628953490341,478.10019751775326,325,69.68606129932003,6,0.0,2746.0,270.67834665266224,0.8561643835616438,0.952054794520548,0.7945205479452055,0.047945205479452024,0.928082191780822,0.7363013698630136,0.7441780821917807,9.0
97,Мещанский,4.516035997431129,8,1.7714650646165497,23,5.092962060772581,191.94849924206676,349,77.28016344389698,0,0.0,2727.0,180.21397350318443,0.9178082191780822,0.9452054794520548,0.8835616438356164,0.04109589041095896,0.24315068493150685,0.7363013698630136,0.7434931506849315,10.0
108,Алексеевский,5.2357621658680635,0,0.0,5,0.9549708030274948,788.4452198403587,246,46.984563508952746,7,0.0019344007906720302,1848.0,340.9269187287,0.678082191780822,0.8835616438356164,0.6506849315068493,0.8561643835616438,0.9554794520547946,0.23287671232876717,0.7422945205479452,11.0
73,Хамовники,10.071522914101434,2,0.19857970011662698,25,2.482246251457837,328.410379885481,637,63.247634487145696,4,0.0006660887544322173,1532.0,293.0895241465923,0.821917808219178,0.8287671232876712,0.7671232876712328,0.4931506849315068,0.8321917808219178,0.34246575342465757,0.7398972602739726,12.0
76,Академический,5.705862734491396,5,0.8762916727343398,18,3.1546500218436235,182.80892030765037,370,64.84558378234115,6,0.0,1606.0,291.03638536544236,0.8356164383561644,0.8527397260273972,0.773972602739726,0.136986301369863,0.928082191780822,0.7363013698630136,0.7224315068493149,13.0
87,Якиманка,4.802965764563788,1,0.2082046903973344,11,2.2902515943706785,156.81848644532172,180,37.47684427152019,0,0.0,3617.0,88.47829846300463,0.5342465753424658,0.9931506849315068,0.9589041095890412,0.4726027397260274,0.24315068493150685,0.7363013698630136,0.7202054794520548,14.0
16,Щукино,7.963808464056843,3,0.37670418789451526,19,2.385793189998597,947.5300404409146,426,53.49199468102117,5,0.0,1469.0,255.5678250467783,0.7602739726027398,0.8013698630136986,0.8082191780821918,0.31506849315068497,0.8801369863013698,0.7363013698630136,0.7181506849315069,15.0
75,Савёловский,2.641608191838074,13,4.9212445812996926,4,1.514229101938367,1027.4870651440121,258,97.66777707502466,0,0.0,2215.0,299.86238115210534,0.958904109589041,0.9178082191780822,0.7534246575342466,0.0,0.24315068493150685,0.7363013698630136,0.7167808219178082,16.0
111,Бабушкинский,4.934054851320013,5,1.0133653051429585,7,1.418711427200142,166.3260271116766,277,56.1404379049199,1,0.0,1605.0,129.64312359509393,0.7808219178082192,0.8424657534246576,0.9383561643835616,0.08904109589041098,0.571917808219178,0.7363013698630136,0.7113013698630137,17.0
43,Черёмушки,5.4667330798434195,2,0.3658492139252727,16,2.9267937114021816,693.8372173819795,334,61.09681872552054,0,0.0,1370.0,151.46719090395808,0.8082191780821918,0.7534246575342466,0.904109589041096,0.32191780821917804,0.24315068493150685,0.7363013698630136,0.7089041095890412,18.0
125,Преображенское,5.584666927202792,0,0.0,22,3.939357581530686,332.13499328734787,256,45.83979731235708,5,0.003836903028468871,1774.0,419.64067592634717,0.6712328767123288,0.8698630136986302,0.5136986301369864,0.8561643835616438,0.8801369863013698,0.17808219178082196,0.7029109589041096,19.0
72,Лианозово,5.64414561196196,0,0.0,10,1.7717473445062135,1139.19575582058,400,70.86989378024853,0,0.0,1296.0,560.9155212207606,0.8835616438356164,0.7123287671232876,0.3904109589041096,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.6986301369863014,20.0
77,Зюзино,5.3962782676341154,4,0.7412516185444447,26,4.81813552053889,434.5024624402009,396,73.38391023590002,3,0.0,1339.0,342.20781091192794,0.8972602739726028,0.7328767123287672,0.636986301369863,0.17808219178082196,0.7808219178082192,0.7363013698630136,0.6823630136986301,21.0
128,Текстильщики,4.796825986317006,1,0.20847118549901747,11,2.2931830404891924,346.46140449343306,338,70.46326069866791,5,0.0,854.0,306.01615769435836,0.8698630136986302,0.4794520547945205,0.7328767123287672,0.4657534246575342,0.8801369863013698,0.7363013698630136,0.6780821917808219,22.0
28,Ховрино,5.269546083851201,0,0.0,7,1.3283876615961032,923.8524049066228,271,51.427579470363426,1,0.0,1352.0,535.483498669709,0.7191780821917808,0.7397260273972602,0.40410958904109584,0.8561643835616438,0.571917808219178,0.7363013698630136,0.6753424657534246,23.0
66,Пресненский,11.639510311810396,5,0.4295713364269795,37,3.178827889559648,382.32206696266394,814,69.93421357031225,3,0.0413879546361051,1606.0,367.18989949435417,0.863013698630137,0.8527397260273972,0.6027397260273972,0.2808219178082192,0.7808219178082192,0.013698630136986356,0.674486301369863,24.0
95,Свиблово,4.439463256246345,3,0.675757366789552,13,2.928281922754725,356.8041498933598,175,39.41917972939053,1,0.0,2111.0,215.4186180100368,0.5547945205479452,0.9041095890410958,0.8561643835616438,0.1986301369863014,0.571917808219178,0.7363013698630136,0.658904109589041,25.0
