sel_rank,lat,lon,district_name
1,55.98710595883754,37.20501877398178,Старое Крюково
2,55.97777324608722,37.18140959743696,Старое Крюково
3,55.70125401818049,37.50584018648099,Раменки
4,55.84390336498925,37.36407176310054,Митино
5,55.65787327364337,37.75602294556223,Марьино
6,55.677295072383345,37.543559615568064,Ломоносовский
7,55.85267149273599,37.347727725679455,Митино
8,55.861604566161525,37.50327156537732,Ховрино
9,55.86524860998106,37.47700710199989,Левобережный
10,55.664936967225586,37.521617637131996,Обручевский
11,55.65843282198285,37.56283349398936,Черёмушки
12,55.5492833630017,37.553597776491515,Южное Бутово
13,55.85555065636614,37.619835345308424,Отрадное
14,55.96503775047863,37.15329079201917,Крюково
15,55.65972168749706,37.47210309206429,Тропарёво-Никулино
16,55.877408145965845,37.53679604507434,Дмитровский
17,55.86182270255449,37.562033559802074,Бескудниковский
18,55.646164937968905,37.530139873643655,Коньково
19,55.796000773951285,37.798565548688366,Измайлово
20,55.704755273712884,37.92208589109873,Некрасовка
21,55.86866191189736,37.58740731419206,Отрадное
22,55.776691777273115,37.46696525739167,Хорошёво-Мнёвники
23,55.80540770931898,37.72202062625905,Преображенское
24,55.65047905456568,37.40769590139173,Солнцево
25,55.874829207157795,37.514071685281884,Западное Дегунино
26,55.73929690848329,37.672265391933266,Таганский
27,55.89078614419732,37.52829721376562,Дмитровский
28,55.65991848515211,37.48799207581213,Тропарёво-Никулино
29,55.85767534316574,37.41746346219094,Северное Тушино
30,55.84954304763621,37.64128008136852,Свиблово
31,55.681746525658156,37.584154917524025,Академический
32,55.648727895993964,37.7404214419114,Марьино
33,55.78557415097939,37.45864249459114,Хорошёво-Мнёвники
34,55.80318557677471,37.543030233042494,Аэропорт
35,55.710944810291295,37.614178347003374,Даниловский
36,55.68979838901938,37.54596356226199,Гагаринский
37,55.88553372848334,37.65162945016123,Северное Медведково
38,55.69656830280816,37.490107477662804,Раменки
39,55.66980699329501,37.553235015078656,Обручевский
40,55.64578092595973,37.39199541909409,Солнцево
41,55.77249652048179,37.4910436381681,Хорошёво-Мнёвники
42,55.84595536845389,37.488464715550506,Головинский
43,55.66693689872739,37.76368482259107,Марьино
44,55.70220704245797,37.75336413539834,Кузьминки
45,55.72391783107102,37.5727836556026,Хамовники
46,55.68179330858726,37.6763704593913,Нагатинский Затон
47,55.67085436280704,37.51377472021356,Проспект Вернадского
48,55.8925317870373,37.60247789439228,Бибирево
49,55.895827796968106,37.57726481961318,Лианозово
50,55.77796615333878,37.53628323225635,Хорошёвский
51,55.773351976592416,37.683213015277616,Басманный
52,55.659094277375125,37.58749137734233,Зюзино
53,55.850151179758136,37.439602467829275,Южное Тушино
54,55.79808114935552,37.40681980767058,Строгино
55,55.71625238757941,37.784019395965394,Рязанский
56,55.63708705802112,37.52253618760392,Коньково
57,55.7673944878281,37.577349377185165,Пресненский
58,55.87680890528029,37.559405880326146,Восточное Дегунино
59,55.74402316226068,37.86391360065974,Новокосино
60,55.73753398384392,37.491792315586295,Филёвский Парк
