K,covered_demand_w_10min,total_demand_w,share_10min
20,73046724.31028846,935670692.9544202,0.07806883859923015
30,99215171.15912192,935670692.9544202,0.10603642061914516
40,124140205.10172023,935670692.9544202,0.13267510250827907
60,170025407.91311318,935670692.9544202,0.18171500848899166
