method,share_10min,mean_time_min,p50_time_min,p90_time_min,cap_min
baseline_max_coverage_10min,0.08202129292606902,59.69047763469703,69.5299543928471,90.0,90.0
greedy_min_mean_time,0.033432411440136894,50.059526710118725,43.80355258479387,90.0,90.0
