K_from,K_to,delta_K,D_from,D_to,delta_D,share10_from,share10_to,delta_share10
20,30,10,371402828.8387954,435641650.8351474,64238821.99635196,0.07806883859923015,0.10603642061914517,0.02796758201991502
30,40,10,435641650.8351474,480859247.1822658,45217596.34711844,0.10603642061914517,0.13267510250827913,0.02663868188913396
40,60,20,480859247.1822658,573215527.8684297,92356280.68616384,0.13267510250827913,0.1817150084889917,0.04903990598071256
