district_name,mean_time_min_base,mean_time_min_keep,delta_keep_minus_base
Таганский,142.92551254070625,15.170582178933342,-127.7549303617729
Хорошёво-Мнёвники,136.5328800803069,37.75564521203989,-98.77723486826702
Пресненский,124.66405750493182,27.24228795287804,-97.42176955205376
Хорошёвский,135.27799191725842,39.59310191617113,-95.6848900010873
Замоскворечье,117.0941902789155,26.820270667427597,-90.27391961148793
Тверской,128.06421161991491,37.82373578409762,-90.24047583581728
Арбат,108.16409052451854,19.96817917500271,-88.19591134951582
Беговой,126.8839196922493,39.52788381118289,-87.3560358810664
Крылатское,133.40663098443557,48.35011724154538,-85.05651374289019
Щукино,111.55873937477968,27.32867708066656,-84.23006229411311
Южнопортовый,125.1320749616417,43.29535730630101,-81.83671765534069
Савёловский,99.63299563295097,18.03488841447093,-81.59810721848002
Якиманка,101.2778679471517,20.361488035596995,-80.91637991155471
Сокол,105.13415747702572,24.856415206872047,-80.27774227015367
Басманный,121.55726789279356,42.92238360695764,-78.63488428583591
Красносельский,131.09987814176847,54.130254420869136,-76.96962372089934
Даниловский,110.80649575113664,35.72880933468084,-75.0776864164558
Лефортово,114.0236386570034,40.60026614371802,-73.42337251328537
Сокольники,104.75435447660269,31.52129872801875,-73.23305574858394
Мещанский,120.13175443461776,47.604805920016126,-72.52694851460163
