district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,demand_total_eff,share_10min_eff,share_15min_eff,mean_time_min_eff,p50_time_min_eff,p90_time_min_eff,demand_total_keep,share_10min_keep,share_15min_keep,mean_time_min_keep,p50_time_min_keep,p90_time_min_keep,delta_mean_minus_base,delta_eff_minus_base,delta_keep_minus_base,delta_share10_mean_minus_base,delta_share10_eff_minus_base,delta_share10_keep_minus_base
Арбат,2548737.1021898966,0.0,0.0,108.16409052451854,108.77976727394913,116.90681246460126,2548737.1021898966,0.0,0.0,30.367336126832196,30.289341000159816,39.89721816289135,2548737.1021898966,0.0,0.24940859425500467,19.96817917500271,20.06139836814306,27.212554798985355,2548737.1021898966,0.0,0.24940859425500467,19.96817917500271,20.06139836814306,27.212554798985355,-77.79675439768634,-88.19591134951582,-88.19591134951582,0.0,0.0,0.0
Марфино,1962594.177196972,0.0,0.0,51.29697265836857,53.9522453053856,58.24682816165487,1962594.177196972,0.0,0.0,41.39446990543099,41.365088000021586,44.23151053543033,1962594.177196972,0.0,0.0,41.39446990543099,41.365088000021586,44.23151053543033,1962594.177196972,0.0,0.0,41.39446990543099,41.365088000021586,44.23151053543033,-9.902502752937579,-9.902502752937579,-9.902502752937579,0.0,0.0,0.0
Сокол,4293592.275901007,0.0,0.0,105.13415747702571,105.21418227280455,118.27955519878891,4293592.275901007,0.4074419716319375,0.7575353617362647,12.491793432359898,10.803278841620934,22.915307835010505,4293592.275901007,0.0,0.0,24.856415206872047,24.941107405216833,35.34727592402377,4293592.275901007,0.0,0.0,24.856415206872047,24.941107405216833,35.34727592402377,-92.64236404466581,-80.27774227015367,-80.27774227015367,0.4074419716319375,0.0,0.0
Бескудниковский,5750658.984284876,0.4831843929428865,0.7228152370714602,11.135808751828296,10.190606710935382,18.371308528424816,5750658.984284876,0.0,0.0,34.750504380168046,34.37820649728907,41.61053212644347,5750658.984284876,0.14324030778026708,0.21753638977576825,22.838737921911182,24.89446229418104,33.651933715747056,5750658.984284876,0.0,0.0,34.750504380168046,34.37820649728907,41.61053212644347,23.61469562833975,11.702929170082886,23.61469562833975,-0.4831843929428865,-0.3399440851626194,-0.4831843929428865
Замоскворечье,4620691.88370693,0.0,0.0,117.0941902789155,117.68507063062849,131.83200583933166,4620691.88370693,0.0,0.05912325591210931,28.66587141186897,29.827914525117105,36.58945733506035,4620691.88370693,0.09836608238463271,0.1782025529999367,26.820270667427593,29.170891365306446,39.52019689256882,4620691.88370693,0.09836608238463271,0.1782025529999367,26.820270667427593,29.170891365306446,39.52019689256882,-88.42831886704653,-90.27391961148791,-90.27391961148791,0.0,0.09836608238463271,0.09836608238463271
Ломоносовский,7743524.912517268,0.42237022921350753,0.629722333610895,13.286768982180716,13.373811742352865,22.726946137777393,7743524.912517268,0.4001138769966099,0.7367097701771441,11.977584813345,11.250049949031988,19.41873195387537,7743524.912517268,0.4001138769966099,0.7367097701771441,11.977584813345,11.250049949031988,19.41873195387537,7743524.912517268,0.4001138769966099,0.7367097701771441,11.977584813345,11.250049949031988,19.41873195387537,-1.3091841688357153,-1.3091841688357153,-1.3091841688357153,-0.022256352216897646,-0.022256352216897646,-0.022256352216897646
Тверской,6737191.105994412,0.0,0.0,128.06421161991491,128.50263092234482,138.0889812001926,6737191.105994412,0.043661722172719096,0.08973005382756645,31.170039715421133,33.97052110487603,40.149232050186875,6737191.105994412,0.0,0.0,37.82373578409762,37.51451706903799,47.05446718861167,6737191.105994412,0.0,0.0,37.82373578409762,37.51451706903799,47.05446718861167,-96.89417190449379,-90.24047583581729,-90.24047583581729,0.043661722172719096,0.0,0.0
Басманный,9485104.961060634,0.0,0.0,121.55726789279355,121.37412755080166,147.8910277425671,9485104.961060634,0.0,0.0,39.23318146527771,39.177453768108634,49.41672934582827,9485104.961060634,0.0,0.0,42.92238360695764,43.34285850305003,50.95666236232536,9485104.961060634,0.0,0.0,42.92238360695764,43.34285850305003,50.95666236232536,-82.32408642751584,-78.63488428583591,-78.63488428583591,0.0,0.0,0.0
Аэропорт,6165003.195140282,0.0,0.0,102.47489387892874,100.63759067006319,114.07203548935858,6165003.195140282,0.0,0.07684604237646861,26.80605615978587,28.242876566077985,35.27617372689651,6165003.195140282,0.0,0.0,37.79591668626821,36.82513040118287,45.86200237324229,6165003.195140282,0.0,0.0,37.79591668626821,36.82513040118287,45.86200237324229,-75.66883771914287,-64.67897719266054,-64.67897719266054,0.0,0.0,0.0
Мещанский,5224528.65047956,0.0,0.0,120.13175443461775,118.41418441938939,137.2333826236523,5224528.65047956,0.0,0.0,45.056158618277664,48.25615659788655,57.1401458024945,5224528.65047956,0.0,0.0,47.604805920016126,47.1785843215381,56.760416530901814,5224528.65047956,0.0,0.0,47.604805920016126,47.1785843215381,56.760416530901814,-75.07559581634008,-72.52694851460163,-72.52694851460163,0.0,0.0,0.0
