K,mean_time_min,p50_time_min,p90_time_min,capped_share_ge_90min,max_time_cap_min
5,79.78780252432166,90.0,90.0,0.7364329617176915,90.0
10,72.80348606102127,90.0,90.0,0.6070857329035305,90.0
20,60.215373073986726,70.47945534418447,90.0,0.3346617906497394,90.0
30,50.35381712630534,51.03087647297228,90.0,0.1487429053498917,90.0
40,44.85144438464189,41.673569276562446,89.78182082370546,0.09861476903101266,90.0
60,34.90162772707859,29.198105537244718,78.17203505478548,0.06453620969802602,90.0
