K,share_10min,mean_time_min,p50_time_min,p90_time_min,D_effective,D_effective_share,cap_min
20,0.07806883859923015,70.50006370020343,70.47945534418447,131.33908511415623,371402828.8387954,0.39693754612114135,180.0
30,0.10603642061914517,53.75524764635619,51.03087647297228,96.82629545930764,435641650.8351474,0.46559292079523223,180.0
40,0.13267510250827913,47.556511205903156,41.673569276562446,89.78182082370546,480859247.1822658,0.5139193209781234,180.0
60,0.1817150084889917,37.253668727573924,29.198105537244718,78.17203505478548,573215527.8684297,0.6126252881325984,180.0
