method,delta_share_10min_vs_base,delta_mean_time_min_vs_base,delta_p50_time_min_vs_base,delta_p90_time_min_vs_base,delta_D_effective_share_vs_base
min_mean_time,-0.0485888814859322,-8.0380625610291,-25.726401808053232,16.981358516894147,0.05472279299435168
max_effective_demand,-0.040873714315023096,-6.131390664290265,-26.401327183847734,25.90359410795486,0.06271511287287457
effective_keep_zelenograd,-0.028393106637206393,-8.764947015117777,-25.80240123427984,10.747005629137476,0.061268581382877885
