K,covered_demand_w_10min,total_demand_w,share_10min,gain_last
5,27012201.208849914,935670692.9544202,0.028869346247831846,3652958.7672027475
10,43437441.93754181,935670692.9544202,0.046423856453584364,3164534.9383153007
20,73046724.31028844,935670692.9544202,0.07806883859923013,2805679.048472487
30,99215171.15912189,935670692.9544202,0.10603642061914512,2562578.1660919585
40,124140205.10172014,935670692.9544202,0.132675102508279,2410940.757841215
60,170025407.9131131,935670692.9544202,0.18171500848899155,2186596.8718818584
