method,share_10min,mean_time_min,p50_time_min,p90_time_min,D_effective,D_effective_share,cap_min
baseline_coverage10,0.08202129292606902,69.71162587808054,69.5299543928471,130.71737431383283,357288707.50246495,0.40194259098323937,180.0
min_mean_time,0.033432411440136894,61.67356331705144,43.80355258479387,147.69873283072698,405932062.097082,0.456665383977591,180.0
max_effective_demand,0.04114757861104592,63.580235213790274,43.12862720899937,156.6209684217877,413036473.7802489,0.4646577038561139,180.0
effective_keep_zelenograd,0.053628186288862685,60.94667886296276,43.72755315856726,141.4643799429703,411750644.9628592,0.4632111723661172,180.0
